Respondent_ID,Q01_Age_Group,Q02_Gender,Q03_Region,Q04_City_Tier,Q05_Monthly_Income,Q06_Household_Size,Q07_Occupation,Q08_Purchase_Motivation_Top2,Q09_Traditional_Crafts_Owned,Q10_Gifting_Occasions,Q11_Gift_Budget_Per_Occasion,Q12_Puja_Frequency,Q13_Last_Purchase_Recency,Q14_Purchase_Frequency_12M,Q15_Historical_Spend_12M,Q16_Product_Category_Interest,Q17_Pooja_Set_Budget,Q17b_Kansa_Dinner_Set_Budget,Q_Preferred_Shopping_Channel,Q18_Top2_Reasons_Buying_Brass,Q19_Current_Buying_Source,Q20_Trust_Moradabad_1to5,Q21_Barrier_Removal_Top2,Q22_Preferred_Offer_Type,Q23_NPS_Score_1to5,Q24_Future_Annual_Spend_TARGET,Q25_Purchase_Likelihood_TARGET,Q_Open_Text_Brass_Meaning
PTMB0939,18-24 years,Non-binary / Other,East India,Tier-2 city,Rs 40001-75000,1-2 people (nuclear),Salaried - Private sector,Aesthetics|Health & wellness,Handcrafted jewellery,Diwali|Housewarming (Griha Pravesh),Rs 500-1500,A few times a week,More than 1 year ago,1-2 times,Rs 3001-8000,"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)",Rs 500-1500,Rs 3000-7000,Craft fair/haat/mela/exhibition,Aesthetic beauty|Cultural and religious significance,No - want to buy but no trusted brand yet,5,"Transparency on sourcing (which artisan, which workshop)|Verified customer reviews with photos",Early member access (limited-edition drops),5.0,Rs 1000-3000,Probably yes - explore and very likely purchase,Brass is elegant - it elevates the aesthetic of any home instantly.
PTMB0940,35-44 years,Male,East India,Tier-2 city,Rs 20000-40000,1-2 people (nuclear),Salaried - Government/PSU,Sustainability|Value for money,Tribal or folk art,Birthdays and anniversaries|Diwali|Rarely or never give gifts,Rs 1500-3500,Only on festivals,Never bought,0 times,Rs 0 (did not buy),"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)",Rs 500-1500,Rs 1000-3000,Local retail store,Aesthetic beauty|Status and refined taste,Yes - local shops/wholesale/roadside,3,30-day easy return/replacement/refund guarantee|Verified customer reviews with photos,Loyalty reward points,2.0,Rs 20001-50000,Maybe - need to see quality and pricing first,To me brass is just a metal - I prefer stainless steel honestly.
PTMB0941,25-34 years,Male,West India,Semi-rural area,Rs 40001-75000,5-6 people (medium family),Salaried - Government/PSU,Cultural pride|Health & wellness,Handcrafted jewellery|Handmade pottery/terracotta,Weddings,Rs 500-1500,Most days (5-6 days a week),Never bought,0 times,Rs 0 (did not buy),"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Curated Corporate Gift Sets (hampers, premium branded packaging)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 1500-4000,Rs 1000-3000,Local retail store,Cultural and religious significance|Health and Ayurvedic benefits,No - want to buy but no trusted brand yet,5,"Transparency on sourcing (which artisan, which workshop)|Verified customer reviews with photos",Early member access (limited-edition drops),3.0,Rs 1000-3000,Definitely yes - buy within first month,Brass represents the golden legacy of Indian craftsmanship.
PTMB0942,35-44 years,Female,West India,Semi-rural area,Rs 40001-75000,5-6 people (medium family),Homemaker,Craft & artistry|Cultural pride,Handcrafted jewellery,Birthdays and anniversaries|Corporate gifting,Rs 1500-3500,Every single day,More than 1 year ago,3-5 times,Rs 3001-8000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)|None of these interest me",Rs 1500-4000,Rs 15000-30000,Brand website (direct online),Health and Ayurvedic benefits|Sustainability,Yes - local shops/wholesale/roadside,3,30-day easy return/replacement/refund guarantee|Videos of handcrafting by Moradabad artisans,Loyalty reward points,1.0,Rs 3001-8000,Maybe - need to see quality and pricing first,"I associate brass with tradition, warmth, and Indian identity."
PTMB0943,35-44 years,Male,East India,Tier-3 town,Rs 150001-300000,3-4 people (small nuclear),Salaried - Private sector,Craft & artistry|Health & wellness,Brass or copper items|Handloom/block-printed home textiles|Stone craft items,Corporate gifting|Weddings,Rs 3500-7000,Every single day,More than 1 year ago,3-5 times,More than Rs 20000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 8000-15000,Rs 15000-30000,Craft fair/haat/mela/exhibition,Aesthetic beauty|Health and Ayurvedic benefits,Yes - Amazon/Flipkart (unbranded/generic),1,30-day easy return/replacement/refund guarantee|Verified customer reviews with photos,Festival cashback (15% off Diwali/Navratri/Akshaya Tritiya),4.0,Rs 20001-50000,Maybe - need to see quality and pricing first,It is the purest metal for puja and daily rituals in our family.
PTMB0944,45-59 years,Female,West India,Metro city,Above Rs 300000,3-4 people (small nuclear),Homemaker,Social validation|Value for money,Brass or copper items|Silver pooja items/silverware|Tribal or folk art,Birthdays and anniversaries|Corporate gifting|Diwali,Rs 7000-15000,A few times a week,More than 1 year ago,3-5 times,Rs 8001-20000,None of these interest me,Rs 8000-15000,Under Rs 1000,Craft fair/haat/mela/exhibition,Health and Ayurvedic benefits|Sustainability,Yes - Amazon/Flipkart (unbranded/generic),5,Purity/authenticity certificate (NABL lab)|Videos of handcrafting by Moradabad artisans,Buy more save more (any 3 items 20% off),4.0,Rs 20001-50000,Maybe - need to see quality and pricing first,To me brass is just a metal - I prefer stainless steel honestly.
PTMB0945,25-34 years,Female,East India,Tier-2 city,Rs 20000-40000,3-4 people (small nuclear),Salaried - Private sector,Cultural pride|Value for money,Handmade pottery/terracotta,Baby showers/naming ceremonies|Birthdays and anniversaries|Rarely or never give gifts,Rs 1500-3500,Every single day,Never bought,0 times,Rs 0 (did not buy),"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)",Rs 500-1500,Rs 1000-3000,Craft fair/haat/mela/exhibition,Cultural and religious significance|Health and Ayurvedic benefits,Yes - local shops/wholesale/roadside,4,Low-cost trial kit/sample set|Verified customer reviews with photos,Buy more save more (any 3 items 20% off),5.0,Rs 3001-8000,Maybe - need to see quality and pricing first,"Premium, durable, and eco-friendly - brass is the future kitchen material."
PTMB0946,Under 18 years,Male,Central India,Tier-3 town,Rs 150001-300000,5-6 people (medium family),Salaried - Government/PSU,Aesthetics|Sustainability,Brass or copper items|Handcrafted jewellery,Birthdays and anniversaries|Diwali|Navratri/Durga Puja/Pongal/regional festivals|Weddings,Rs 3500-7000,A few times a week,More than 1 year ago,6-10 times,Rs 3001-8000,"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)",Rs 8000-15000,Rs 3000-7000,Craft fair/haat/mela/exhibition,Health and Ayurvedic benefits|Investment and heirloom value,Yes - Amazon/Flipkart (unbranded/generic),5,"Transparency on sourcing (which artisan, which workshop)|Verified customer reviews with photos",Free premium gift wrapping + handwritten note,4.0,Rs 20001-50000,Maybe - need to see quality and pricing first,"I associate brass with tradition, warmth, and Indian identity."
PTMB0947,18-24 years,Female,South India,Metro city,Rs 75001-150000,1-2 people (nuclear),Business owner/Entrepreneur,Sustainability|Value for money,Silver pooja items/silverware|Stone craft items|Tribal or folk art|Woodcraft/hand-carved wooden items,Housewarming (Griha Pravesh)|Weddings,Rs 1500-3500,Every single day,6-12 months ago,More than 10 times,Rs 3001-8000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)",Rs 8000-15000,Rs 3000-7000,Brand website (direct online),Aesthetic beauty|Health and Ayurvedic benefits,No - want to buy but no trusted brand yet,4,Verified customer reviews with photos|Videos of handcrafting by Moradabad artisans,Buy more save more (any 3 items 20% off),5.0,Under Rs 1000,Maybe - need to see quality and pricing first,
PTMB0948,45-59 years,Female,South India,Metro city,Above Rs 300000,7+ people (large joint family),Salaried - Private sector,Craft & artistry|Sustainability,Brass or copper items|Tribal or folk art|Woodcraft/hand-carved wooden items,Baby showers/naming ceremonies|Diwali|Housewarming (Griha Pravesh),Rs 7000-15000,Every single day,More than 1 year ago,1-2 times,Rs 1001-3000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)",Above Rs 15000,Rs 1000-3000,Instagram/Facebook social commerce,Health and Ayurvedic benefits|Status and refined taste,No - do not buy brass/traditional products,5,30-day easy return/replacement/refund guarantee|Purity/authenticity certificate (NABL lab),Early member access (limited-edition drops),5.0,Rs 20001-50000,Probably not - have trusted alternatives,"Premium, durable, and eco-friendly - brass is the future kitchen material."
PTMB0949,45-59 years,Male,East India,Semi-rural area,Rs 20000-40000,3-4 people (small nuclear),Freelancer/Self-employed,Health & wellness|Status & luxury,Antique/vintage collectibles|Silver pooja items/silverware,Birthdays and anniversaries|Diwali|Navratri/Durga Puja/Pongal/regional festivals|Rarely or never give gifts,Rs 500-1500,Every single day,1-3 months ago,1-2 times,Rs 1001-3000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)",Rs 500-1500,Rs 1000-3000,Local retail store,Gifting value|Support Indian artisans,No - do not buy brass/traditional products,5,Low-cost trial kit/sample set|Verified customer reviews with photos,Buy more save more (any 3 items 20% off),4.0,Rs 1000-3000,Maybe - need to see quality and pricing first,Brass is elegant - it elevates the aesthetic of any home instantly.
PTMB0950,35-44 years,Female,East India,Metro city,Rs 40001-75000,7+ people (large joint family),Salaried - Private sector,Aesthetics|Cultural pride,Handcrafted jewellery|Handloom/block-printed home textiles|Stone craft items,Baby showers/naming ceremonies|Birthdays and anniversaries|Corporate gifting,Rs 500-1500,Most days (5-6 days a week),More than 1 year ago,3-5 times,Rs 3001-8000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Curated Corporate Gift Sets (hampers, premium branded packaging)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 8000-15000,Rs 7000-15000,Local retail store,Aesthetic beauty|Investment and heirloom value,Yes - local shops/wholesale/roadside,2,Brass care and maintenance guide included|Low-cost trial kit/sample set,Custom engraving/personalisation,,Rs 1000-3000,Probably not - have trusted alternatives,Brass is elegant - it elevates the aesthetic of any home instantly.
PTMB0951,35-44 years,Female,West India,Tier-3 town,Rs 20000-40000,3-4 people (small nuclear),Business owner/Entrepreneur,Cultural pride|Health & wellness,Brass or copper items|Handmade pottery/terracotta|Stone craft items,Birthdays and anniversaries|Corporate gifting|Housewarming (Griha Pravesh)|Weddings,Rs 1500-3500,Every single day,More than 1 year ago,0 times,Rs 0 (did not buy),"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 500-1500,Rs 3000-7000,Amazon or Flipkart,Aesthetic beauty|Health and Ayurvedic benefits,No - do not buy brass/traditional products,1,Low-cost trial kit/sample set|Videos of handcrafting by Moradabad artisans,Buy more save more (any 3 items 20% off),3.0,Rs 1000-3000,Probably not - have trusted alternatives,
PTMB0952,35-44 years,Female,North India,Tier-2 city,Rs 150001-300000,7+ people (large joint family),Student,Cultural pride|Health & wellness,Brass or copper items|Handcrafted jewellery|Handmade pottery/terracotta|Woodcraft/hand-carved wooden items,Corporate gifting|Diwali,Rs 3500-7000,Every single day,More than 1 year ago,1-2 times,Rs 1001-3000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 8000-15000,Rs 7000-15000,Brand website (direct online),Cultural and religious significance|Health and Ayurvedic benefits,No - do not buy brass/traditional products,2,30-day easy return/replacement/refund guarantee|Videos of handcrafting by Moradabad artisans,Loyalty reward points,1.0,Rs 3001-8000,Probably not - have trusted alternatives,It connects me to my roots and to the artisans of India.
PTMB0953,18-24 years,Female,West India,Tier-2 city,Below Rs 20000,3-4 people (small nuclear),Homemaker,Cultural pride|Value for money,Brass or copper items|Handloom/block-printed home textiles,Birthdays and anniversaries|Corporate gifting|Diwali|Rarely or never give gifts,Rs 500-1500,Only on festivals,More than 1 year ago,3-5 times,Rs 1001-3000,"Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 500-1500,Rs 1000-3000,Word of mouth/referral,Aesthetic beauty|Cultural and religious significance,Yes - local shops/wholesale/roadside,5,"Purity/authenticity certificate (NABL lab)|Transparency on sourcing (which artisan, which workshop)",Bundle deal (puja set + water vessel at combined price),4.0,Rs 1000-3000,Definitely yes - buy within first month,Brass represents the golden legacy of Indian craftsmanship.
PTMB0954,60 years and above,Female,South India,Metro city,Rs 40001-75000,1-2 people (nuclear),Salaried - Government/PSU,Cultural pride|Health & wellness,Brass or copper items|Stone craft items,Corporate gifting|Diwali|Weddings,Rs 500-1500,Every single day,6-12 months ago,3-5 times,Rs 1001-3000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Curated Corporate Gift Sets (hampers, premium branded packaging)|None of these interest me",Rs 4000-8000,Under Rs 1000,Brand website (direct online),Cultural and religious significance|Health and Ayurvedic benefits,No - do not buy brass/traditional products,4,Verified customer reviews with photos|Videos of handcrafting by Moradabad artisans,No offer needed - buy when I like the product,5.0,Rs 1000-3000,Definitely not - category not relevant,Brass reminds me of my grandmother's kitchen and feels like home.
PTMB0955,25-34 years,Female,West India,Semi-rural area,Rs 20000-40000,7+ people (large joint family),Salaried - Government/PSU,Cultural pride|Health & wellness,Stone craft items,Birthdays and anniversaries|Diwali|Housewarming (Griha Pravesh)|Navratri/Durga Puja/Pongal/regional festivals,Rs 500-1500,Rarely or never,Never bought,0 times,Rs 0 (did not buy),"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)",Rs 500-1500,Under Rs 1000,Craft fair/haat/mela/exhibition,Aesthetic beauty|Cultural and religious significance,No - do not buy brass/traditional products,2,"Purity/authenticity certificate (NABL lab)|Transparency on sourcing (which artisan, which workshop)",Free premium gift wrapping + handwritten note,5.0,Under Rs 1000,Definitely not - category not relevant,"Premium, durable, and eco-friendly - brass is the future kitchen material."
PTMB0956,25-34 years,Female,South India,Tier-2 city,Rs 20000-40000,7+ people (large joint family),Homemaker,Status & luxury|Value for money,Antique/vintage collectibles|Silver pooja items/silverware|Tribal or folk art,Diwali|Housewarming (Griha Pravesh),Rs 1500-3500,Most days (5-6 days a week),Never bought,0 times,Rs 0 (did not buy),"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)|Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 1500-4000,Rs 1000-3000,Word of mouth/referral,Aesthetic beauty|Health and Ayurvedic benefits,No - want to buy but no trusted brand yet,2,Low-cost trial kit/sample set|Videos of handcrafting by Moradabad artisans,Loyalty reward points,4.0,Rs 1000-3000,Probably not - have trusted alternatives,Brass represents the golden legacy of Indian craftsmanship.
PTMB0957,35-44 years,Female,West India,Tier-2 city,Rs 75001-150000,3-4 people (small nuclear),Retired,Craft & artistry|Cultural pride,Brass or copper items|Handcrafted jewellery|Silver pooja items/silverware|Tribal or folk art,Corporate gifting|Weddings,Rs 7000-15000,Every single day,Never bought,0 times,Rs 0 (did not buy),"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)",Rs 4000-8000,Rs 15000-30000,Amazon or Flipkart,Cultural and religious significance|Sustainability,Yes - local shops/wholesale/roadside,3,Verified customer reviews with photos|Videos of handcrafting by Moradabad artisans,Loyalty reward points,5.0,Under Rs 1000,Maybe - need to see quality and pricing first,"Brass is timeless, beautiful, and heals the body according to Ayurveda."
PTMB0958,18-24 years,Female,South India,Tier-3 town,Rs 150001-300000,5-6 people (medium family),Freelancer/Self-employed,Cultural pride|Health & wellness,Handcrafted jewellery|Handmade pottery/terracotta,Birthdays and anniversaries|Diwali|Weddings,Above Rs 15000,Only on festivals,6-12 months ago,3-5 times,Rs 3001-8000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Above Rs 15000,Rs 3000-7000,Local retail store,Cultural and religious significance|Status and refined taste,No - want to buy but no trusted brand yet,4,"Brass care and maintenance guide included|Transparency on sourcing (which artisan, which workshop)",Custom engraving/personalisation,5.0,Above Rs 50000,Definitely yes - buy within first month,"Premium, durable, and eco-friendly - brass is the future kitchen material."
PTMB0959,18-24 years,Male,North India,Tier-3 town,Rs 40001-75000,5-6 people (medium family),Salaried - Government/PSU,Cultural pride|Sustainability,Antique/vintage collectibles|Handmade pottery/terracotta,Diwali,Rs 1500-3500,Most days (5-6 days a week),6-12 months ago,1-2 times,Rs 3001-8000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)",Above Rs 15000,Rs 3000-7000,Local retail store,Aesthetic beauty|Cultural and religious significance,Yes - local shops/wholesale/roadside,5,30-day easy return/replacement/refund guarantee|Videos of handcrafting by Moradabad artisans,Bundle deal (puja set + water vessel at combined price),3.0,Rs 1000-3000,Probably yes - explore and very likely purchase,"I associate brass with tradition, warmth, and Indian identity."
PTMB0960,45-59 years,Female,South India,Village or rural area,Rs 150001-300000,7+ people (large joint family),Other,Aesthetics|Health & wellness,Brass or copper items|Woodcraft/hand-carved wooden items,Birthdays and anniversaries|Diwali,Above Rs 15000,Most days (5-6 days a week),6-12 months ago,6-10 times,Rs 8001-20000,"Brass Water Vessels (lotas, surahi-style jars, storage vessels)",Rs 4000-8000,Above Rs 30000,Amazon or Flipkart,Health and Ayurvedic benefits|Support Indian artisans,No - do not buy brass/traditional products,5,Low-cost trial kit/sample set|Purity/authenticity certificate (NABL lab),No offer needed - buy when I like the product,4.0,Rs 8001-20000,Probably not - have trusted alternatives,Brass represents the golden legacy of Indian craftsmanship.
PTMB0961,18-24 years,Male,South India,Tier-2 city,Rs 20000-40000,3-4 people (small nuclear),Salaried - Private sector,Health & wellness|Status & luxury,None,Birthdays and anniversaries|Diwali|Rarely or never give gifts,Rs 1500-3500,Every single day,3-6 months ago,3-5 times,Rs 3001-8000,"Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 500-1500,Rs 3000-7000,Local retail store,Cultural and religious significance|Status and refined taste,"Yes - premium online brand (P-TAL, CopperStudio, Ellementry)",4,Purity/authenticity certificate (NABL lab)|Verified customer reviews with photos,Loyalty reward points,4.0,Rs 8001-20000,Probably not - have trusted alternatives,
PTMB0962,35-44 years,Male,North India,Tier-2 city,Rs 40001-75000,5-6 people (medium family),Salaried - Private sector,Craft & artistry|Sustainability,Silver pooja items/silverware|Stone craft items,Diwali|Weddings,Rs 1500-3500,Every single day,3-6 months ago,3-5 times,Rs 1-1000,"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)|None of these interest me",Rs 500-1500,Rs 1000-3000,Local retail store,Cultural and religious significance|Support Indian artisans,No - do not buy brass/traditional products,2,30-day easy return/replacement/refund guarantee|Purity/authenticity certificate (NABL lab),Early member access (limited-edition drops),2.0,Rs 8001-20000,Maybe - need to see quality and pricing first,To me brass is just a metal - I prefer stainless steel honestly.
PTMB0963,25-34 years,Male,North India,Village or rural area,Rs 40001-75000,5-6 people (medium family),Student,Craft & artistry|Value for money,Brass or copper items,Birthdays and anniversaries|Weddings,Rs 7000-15000,A few times a week,1-3 months ago,3-5 times,Rs 1001-3000,"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)",Rs 500-1500,Rs 3000-7000,Brand website (direct online),Gifting value|Investment and heirloom value,"Yes - premium online brand (P-TAL, CopperStudio, Ellementry)",5,"Transparency on sourcing (which artisan, which workshop)|Videos of handcrafting by Moradabad artisans",Buy more save more (any 3 items 20% off),5.0,Rs 1000-3000,Maybe - need to see quality and pricing first,Brass represents the golden legacy of Indian craftsmanship.
PTMB0964,25-34 years,Prefer not to say,South India,Tier-3 town,Below Rs 20000,3-4 people (small nuclear),Salaried - Private sector,Social validation|Value for money,Brass or copper items|Handcrafted jewellery|Silver pooja items/silverware,Birthdays and anniversaries|Navratri/Durga Puja/Pongal/regional festivals|Rarely or never give gifts|Weddings,Rs 500-1500,Every single day,Never bought,0 times,Rs 0 (did not buy),"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)",Rs 4000-8000,Rs 7000-15000,Local retail store,Cultural and religious significance|Support Indian artisans,"Yes - premium online brand (P-TAL, CopperStudio, Ellementry)",3,30-day easy return/replacement/refund guarantee|Verified customer reviews with photos,Loyalty reward points,4.0,Rs 8001-20000,Maybe - need to see quality and pricing first,To me brass is just a metal - I prefer stainless steel honestly.
PTMB0965,25-34 years,Female,West India,Metro city,Rs 40001-75000,7+ people (large joint family),Salaried - Private sector,Health & wellness|Value for money,Handloom/block-printed home textiles|Silver pooja items/silverware,Corporate gifting|Navratri/Durga Puja/Pongal/regional festivals|Weddings,Rs 1500-3500,A few times a week,6-12 months ago,1-2 times,Rs 0 (did not buy),"Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 1500-4000,Rs 1000-3000,Brand website (direct online),Health and Ayurvedic benefits|Sustainability,No - do not buy brass/traditional products,4,"Purity/authenticity certificate (NABL lab)|Transparency on sourcing (which artisan, which workshop)",Loyalty reward points,5.0,Under Rs 1000,Probably not - have trusted alternatives,Brass is elegant - it elevates the aesthetic of any home instantly.
PTMB0966,25-34 years,Female,North India,Metro city,Rs 75001-150000,3-4 people (small nuclear),Salaried - Private sector,Health & wellness|Value for money,Handcrafted jewellery|Handloom/block-printed home textiles|Woodcraft/hand-carved wooden items,Baby showers/naming ceremonies|Birthdays and anniversaries|Diwali|Rarely or never give gifts,Under Rs 500,A few times a week,Never bought,0 times,Rs 0 (did not buy),"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)",Rs 1500-4000,Rs 7000-15000,YouTube/influencer recommendation,Gifting value|Sustainability,No - do not buy brass/traditional products,4,"Transparency on sourcing (which artisan, which workshop)|Verified customer reviews with photos",Buy more save more (any 3 items 20% off),4.0,Rs 1000-3000,Maybe - need to see quality and pricing first,
PTMB0967,45-59 years,Female,North-East India,Semi-rural area,Rs 40001-75000,3-4 people (small nuclear),Salaried - Government/PSU,Craft & artistry|Status & luxury,Handcrafted jewellery|Woodcraft/hand-carved wooden items,Diwali|Weddings,Rs 3500-7000,Every single day,3-6 months ago,1-2 times,Rs 1-1000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)",Rs 4000-8000,Rs 3000-7000,Instagram/Facebook social commerce,Health and Ayurvedic benefits|Status and refined taste,Yes - local shops/wholesale/roadside,4,Brass care and maintenance guide included|Purity/authenticity certificate (NABL lab),Custom engraving/personalisation,5.0,Rs 3001-8000,Definitely yes - buy within first month,To me brass is just a metal - I prefer stainless steel honestly.
PTMB0968,25-34 years,Female,South India,Tier-2 city,Rs 75001-150000,5-6 people (medium family),Homemaker,Aesthetics|Health & wellness,Handcrafted jewellery|Handloom/block-printed home textiles|Silver pooja items/silverware|Woodcraft/hand-carved wooden items,Baby showers/naming ceremonies|Birthdays and anniversaries|Diwali|Housewarming (Griha Pravesh),Rs 500-1500,Only on weekends,3-6 months ago,3-5 times,Rs 8001-20000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)",Rs 4000-8000,Rs 7000-15000,Brand website (direct online),Aesthetic beauty|Cultural and religious significance,No - do not buy brass/traditional products,5,"30-day easy return/replacement/refund guarantee|Transparency on sourcing (which artisan, which workshop)",Loyalty reward points,2.0,Rs 3001-8000,Probably not - have trusted alternatives,I think of Diwali diyas and temple bells when I hear the word brass.
PTMB0969,35-44 years,Non-binary / Other,North-East India,Tier-3 town,Rs 40001-75000,5-6 people (medium family),Homemaker,Aesthetics|Craft & artistry,Handloom/block-printed home textiles|Handmade pottery/terracotta|Silver pooja items/silverware,Diwali|Housewarming (Griha Pravesh)|Rarely or never give gifts|Weddings,Rs 500-1500,Every single day,1-3 months ago,6-10 times,Rs 1-1000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 1500-4000,Rs 1000-3000,YouTube/influencer recommendation,Cultural and religious significance|Sustainability,No - do not buy brass/traditional products,5,Verified customer reviews with photos|Videos of handcrafting by Moradabad artisans,Bundle deal (puja set + water vessel at combined price),4.0,Rs 1000-3000,Maybe - need to see quality and pricing first,Brass reminds me of my grandmother's kitchen and feels like home.
PTMB0970,35-44 years,Female,West India,Tier-2 city,Below Rs 20000,3-4 people (small nuclear),Salaried - Private sector,Cultural pride|Value for money,Brass or copper items|Silver pooja items/silverware,Diwali|Weddings,Rs 3500-7000,Every single day,3-6 months ago,3-5 times,Rs 1-1000,"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)|Curated Corporate Gift Sets (hampers, premium branded packaging)",Under Rs 500,Rs 1000-3000,Amazon or Flipkart,Gifting value|Support Indian artisans,No - do not buy brass/traditional products,3,Verified customer reviews with photos|Videos of handcrafting by Moradabad artisans,Festival cashback (15% off Diwali/Navratri/Akshaya Tritiya),2.0,Above Rs 50000,Definitely not - category not relevant,I think of Diwali diyas and temple bells when I hear the word brass.
PTMB0971,35-44 years,Male,West India,Metro city,Below Rs 20000,3-4 people (small nuclear),Business owner/Entrepreneur,Aesthetics|Cultural pride,Brass or copper items|Handloom/block-printed home textiles|Handmade pottery/terracotta|Woodcraft/hand-carved wooden items,Diwali|Weddings,Under Rs 500,Rarely or never,Never bought,0 times,Rs 0 (did not buy),"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 500-1500,Under Rs 1000,Amazon or Flipkart,Cultural and religious significance|Health and Ayurvedic benefits,No - want to buy but no trusted brand yet,4,30-day easy return/replacement/refund guarantee|Purity/authenticity certificate (NABL lab),Loyalty reward points,4.0,Rs 1000-3000,Maybe - need to see quality and pricing first,"I associate brass with tradition, warmth, and Indian identity."
PTMB0972,60 years and above,Male,Central India,Tier-3 town,Rs 40001-75000,7+ people (large joint family),Freelancer/Self-employed,Health & wellness|Sustainability,Brass or copper items|Silver pooja items/silverware|Stone craft items,Housewarming (Griha Pravesh),Rs 1500-3500,Every single day,6-12 months ago,1-2 times,Rs 1001-3000,"Brass Water Vessels (lotas, surahi-style jars, storage vessels)|None of these interest me",Rs 500-1500,Rs 3000-7000,Amazon or Flipkart,Aesthetic beauty|Health and Ayurvedic benefits,No - do not buy brass/traditional products,3,30-day easy return/replacement/refund guarantee|Verified customer reviews with photos,Early member access (limited-edition drops),,Rs 3001-8000,Definitely not - category not relevant,It is the purest metal for puja and daily rituals in our family.
PTMB0973,45-59 years,Female,South India,Metro city,Rs 20000-40000,3-4 people (small nuclear),Student,Aesthetics|Sustainability,Handcrafted jewellery|Stone craft items,Baby showers/naming ceremonies|Birthdays and anniversaries|Navratri/Durga Puja/Pongal/regional festivals|Rarely or never give gifts,Rs 3500-7000,Only on weekends,6-12 months ago,3-5 times,Rs 3001-8000,"Curated Corporate Gift Sets (hampers, premium branded packaging)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Under Rs 500,Rs 1000-3000,Craft fair/haat/mela/exhibition,Aesthetic beauty|Gifting value,No - do not buy brass/traditional products,4,Brass care and maintenance guide included|Low-cost trial kit/sample set,Early member access (limited-edition drops),4.0,Rs 1000-3000,Definitely not - category not relevant,"I associate brass with tradition, warmth, and Indian identity."
